rank_by_qubo_score,selected_leds,bitstring,qubo_score,qubo_energy,qaoa_qubo_energy,num_selected_leds,power_consumption_ratio,qaoa_count,qaoa_probability,coverage_rate,power_uniformity,snr_uniformity,snr_threshold_db,mean_snr_db,min_snr_db,max_snr_db,mean_received_power,min_received_power,max_received_power
2020,2-4-9-10-14-15,b_0101000011000110,0.1947241395868262,-0.1947241395868262,-0.1947241395868262,6,0.375,1,0.0001220703125,0.948,0.0,0.0,13.6,29.1712503511209,-300.0,33.22696592788133,1.0006716760321853e-05,0.0,3.0245457867355717e-05
2021,2-8-11-12-13-16,b_0100000100111001,0.1926632542641299,-0.1926632542641299,-0.1926632542641299,6,0.375,1,0.0001220703125,0.9548,0.0,0.0,13.6,29.068548317353454,-300.0,33.28108373625603,9.872702801798222e-06,0.0,3.150025772444695e-05
2022,4-6-7-8-14-16,b_0001011100000101,0.18955427560035132,-0.18955427560035132,-0.18955427560035132,6,0.375,1,0.0001220703125,0.906,0.0,0.0,13.6,29.26122611513354,-300.0,33.15927688406389,1.0016677949071012e-05,0.0,2.8850291509453847e-05
2023,9-13,b_0000000010001000,0.18935655814357522,-0.18935655814357522,-0.18935655814357522,2,0.125,1,0.0001220703125,0.398,0.0,0.0,13.6,24.18712317284885,-300.0,32.65175416437761,3.1982378986672665e-06,0.0,2.1980401879413807e-05
2024,13-14,b_0000000000001100,0.18935655814357522,-0.18935655814357522,-0.18935655814357522,2,0.125,4,0.00048828125,0.398,0.0,0.0,13.6,24.187123172848843,-300.0,32.65175416437761,3.1982378986672673e-06,0.0,2.1980401879413807e-05
2025,3-4,b_0011000000000000,0.1893565581435751,-0.1893565581435751,-0.1893565581435751,2,0.125,2,0.000244140625,0.398,0.0,0.0,13.6,24.187123172848843,-300.0,32.65175416437761,3.1982378986672665e-06,0.0,2.1980401879413807e-05
2026,3-4-5-6-9-12,b_0011110010010000,0.18701164524642125,-0.18701164524642125,-0.18701164524642125,6,0.375,1,0.0001220703125,0.9108,0.0,0.0,13.6,29.258982913940685,-300.0,33.09380074712387,1.0006716760321853e-05,0.0,2.7652087564293946e-05
2027,1-8-9-11-12-16,b_1000000110110001,0.1843102243160052,-0.1843102243160052,-0.1843102243160052,6,0.375,1,0.0001220703125,0.9424,0.0,0.0,13.6,29.093816297632145,-300.0,33.28108373625603,9.872702801798222e-06,0.0,3.150025772444695e-05
2028,4-5-7-8-12-13,b_0001101100011000,0.1843102243160051,-0.1843102243160051,-0.1843102243160051,6,0.375,1,0.0001220703125,0.9424,0.0,0.0,13.6,29.093816297632145,-300.0,33.28108373625603,9.87270280179822e-06,0.0,3.150025772444695e-05
2029,1-2-3-7-13,b_1110001000001000,0.18316360952002012,-0.18316360952002012,-0.18316360952002012,5,0.3125,1,0.0001220703125,0.8328,0.0,0.0,13.6,28.223005753665255,-300.0,33.157249119746254,8.206576873202774e-06,0.0,2.881110756769631e-05
